Posisi,Perusahaan,Lokasi,Gaji,Waktu
Machine Learning Engineer,RemoHires,Jakarta Raya,Rp 7.000.000 – Rp 10.000.000 per month,12 hari yang lalu
Digital Transformation & Cybersecurity Leader,PT Schneider Electric,Cikarang,Gaji tidak disebutkan,12 hari yang lalu
AI & Data Optimization Team,PT Main Games Indonesia (Jakarta),Jakarta Selatan,Gaji tidak disebutkan,12 hari yang lalu
Data Analyst,CITANUSA GROUP,Kelapa Gading,Gaji tidak disebutkan,12 hari yang lalu
Corporate Data Analyst,OTO Group,Jakarta Selatan,Gaji tidak disebutkan,12 hari yang lalu
Data Analyst,Kompas Gramedia - KG Media,Purwakarta,Gaji tidak disebutkan,12 hari yang lalu
Data Analyst - ERP Staff (JAKARTA),PT Allure Alluminio,Jakarta Utara,Gaji tidak disebutkan,12 hari yang lalu
Machine Learning Engineer,PT Nusantara Compnet Integrator,Jakarta Barat,Gaji tidak disebutkan,12 hari yang lalu
Data Analyst (Finance),PT Sea Group,Indonesia,Gaji tidak disebutkan,12 hari yang lalu
Data Analyst,PT HEJAZ FINANCIAL SERVICES,Jakarta Selatan,Gaji tidak disebutkan,13 hari yang lalu
Master Data Specialist,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,13 hari yang lalu
Risk Modelling Data Scientist,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,Gaji tidak disebutkan,13 hari yang lalu
SR&T AI Consultant - Strategy & Business Design - ID / MY / TH,Deloitte,Jakarta Raya,Gaji tidak disebutkan,13 hari yang lalu
DATA ANALYST,Meilani Statistical Consulting,DI Yogyakarta,Rp 3.500.000 – Rp 5.000.000 per month,13 hari yang lalu
Data Engineer,PT Simplefi Teknologi Indonesia (Jakarta),Jakarta Selatan,Gaji tidak disebutkan,13 hari yang lalu
Senior Data Scientist,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,13 hari yang lalu
Data Analyst,PT Bevananda Mustika,Jakarta Utara,Rp 6.000.000 – Rp 7.000.000 per month,13 hari yang lalu
Data Scientist Internship,PT Crif Lembaga Informasi Keuangan,Jakarta Raya,Gaji tidak disebutkan,13 hari yang lalu
Data Labelling Intern,Veridien,Kebayoran Lama,Gaji tidak disebutkan,18 hari yang lalu
Data Warehouse Supervisor,PT Inti Citra Agung (Optik Melawai),Jakarta Raya,Gaji tidak disebutkan,18 hari yang lalu
Data Analyst Executive,PT Dunia Kido Indonesia,Jakarta Utara,Rp 7.000.000 – Rp 10.000.000 per month,18 hari yang lalu
Business Intelligence Analyst,Substance,Jakarta Raya,Gaji tidak disebutkan,19 hari yang lalu
Junior Planner - Data Analyst,MITRA PARAMA GEMILANG,Balikpapan,Gaji tidak disebutkan,19 hari yang lalu
Machine Learning Engineering Consultant (Junior & Senior),EY,Jakarta Raya,Gaji tidak disebutkan,22 hari yang lalu
Data Engineer (Officer),Dexa Group,Tangerang Selatan,Gaji tidak disebutkan,23 hari yang lalu
Data Analyst Officer,"PT Niagamas Lestari Gemilang (Tools, Machinery and Industrial Equipment)",Jakarta Barat,Gaji tidak disebutkan,23 hari yang lalu
Senior Data Engineer,Siloam Hospitals Group (Tbk),Karawaci,Gaji tidak disebutkan,23 hari yang lalu
"Professor/ Lecturer in Data Engineering, Information & Communication Technology",Western Sydney University Indonesia,Surabaya,Gaji tidak disebutkan,23 hari yang lalu
Data Scientist,PT Media Wave Interaktif,Jakarta Selatan,Gaji tidak disebutkan,23 hari yang lalu
Data & AI Consultant,PT SoftwareONE Indonesia,Jakarta Raya,Gaji tidak disebutkan,23 hari yang lalu
Data Analyst,PT Tempindo Jasatama (Divisi Jakarta Temp),Jakarta Selatan,Rp 8.000.000 – Rp 8.500.000 per month,24 hari yang lalu
IT AI Roles,PT Supra Primatama Nusantara(Biznet),Badung,Gaji tidak disebutkan,25 hari yang lalu
Data Engineer,PT Asuransi Perisai Listrik Nasional,Jakarta Selatan,Gaji tidak disebutkan,25 hari yang lalu
Data Scientist - Pricing,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,25 hari yang lalu
Staff Master Data,PT Sukanda Djaya,Bekasi,Gaji tidak disebutkan,26 hari yang lalu
Research Development Engineer SPV (AI Products),Pengiklan Anonim,Jakarta Raya,Gaji tidak disebutkan,26 hari yang lalu
Technical Data Support,PT Nusantara Building Industries,Demak,Gaji tidak disebutkan,26 hari yang lalu
Data Engineer,"PT. Metrodata Electronics, Tbk",Jakarta Barat,Gaji tidak disebutkan,26 hari yang lalu
Data Analytic,PT Mensa Binasukses,Jakarta Timur,Gaji tidak disebutkan,26 hari yang lalu
Sr. Data Scientist,GE Renewable Energy Power and Aviation,Subang,Gaji tidak disebutkan,26 hari yang lalu
"Pengajar Materi Digital Marketing, Data Analyst, Data Scientist, QA Engineer",Pijar Academy,Jakarta Raya,Gaji tidak disebutkan,26 hari yang lalu
Data Scientist,PT Akulaku Silvrr Indonesia,Jakarta Raya,Gaji tidak disebutkan,27 hari yang lalu
Data Analyst,Infinite Learning,Batam,Gaji tidak disebutkan,27 hari yang lalu
DATA ANALYST STAFF,PT Setyawan Eunike Gemilang,Yogyakarta,Rp 3.500.000 – Rp 4.500.000 per month,27 hari yang lalu
Data Analytics Operation,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,27 hari yang lalu
MIS Data Analytics Specialist,PT Bank BCA Syariah,Jakarta Timur,Gaji tidak disebutkan,27 hari yang lalu
Data Engineer (Project Base),PT Mitra Solusi Telematika,Jakarta Selatan,Gaji tidak disebutkan,27 hari yang lalu
Data Engineer (Project Base),PT Mitra Solusi Telematika,DI Yogyakarta,Gaji tidak disebutkan,27 hari yang lalu
Data & Analytics Engineer,Vida,Jakarta Raya,Gaji tidak disebutkan,29 hari yang lalu
Data Engineer,PT Kamoro Maxima Integra,Jakarta Barat,Gaji tidak disebutkan,30+ hari yang lalu
IT Data Analytic (Project Based),PT. BNI Life Insurance,Jakarta Selatan,Gaji tidak disebutkan,30+ hari yang lalu
Perlindungan Data Pribadi Manager,PT Mandiri Utama Finance,Jakarta Raya,Rp 13.000.000 – Rp 16.000.000 per month,30+ hari yang lalu
AI Engineer,PT DAnS Multi Pro,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,TADA,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineering Consultant (Associates - Senior),EY,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Research Scientist,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Maha Nagari Nusantara (TORCH.ID),Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Senior Growth Data Analyst,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Research Engineer,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst - Growth,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Science Manager,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,PT AJAIB TTX Solusi (jakarta),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
TC - Data Exchange Platform Advisor,EY,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst - Headquarters Bandung,PT Calysta Prima Estetik (Calysta Skin Care),Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Machine Learning/AI Engineer,Rakamin,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Big Data Manager,Point Star,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer (Technology Consultant),EY,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,Kredivo Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst Risk,Kredivo Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
AI Engineer,WireHire,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst,Buku Warung,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Solutions Architect,Snowflake,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst,Tripledot Studios,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Asset Data Analytic,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Risk Data Analyst - Financial Services,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Business Data Analyst,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Purwadhika - Data Scientist,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Factory Data Analyst,Modinity,Pulo Gadung,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analis,PT Urbansari Indo,Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,PT. SimpleFi Teknologi Indonesia (AwanTunai),Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Lead Data Engineer,PT Solusi Transportasi Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Indofood Group,Pulo Gadung,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer/Senior Engineer,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,TADA,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
M-Ads (Mobile Advertising),PT XL Axiata Tbk,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
AI Engineer,PT TOTAL BANGUN PERSADA Tbk,Kalideres,Gaji tidak disebutkan,30+ hari yang lalu
GenAI Strategist,Oliver – SEAPAC,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Adanu Adhinata Semesta (ASA),Yogyakarta,Gaji tidak disebutkan,30+ hari yang lalu
CRM Analyst - Malang,Dea Bakery,Malang,Gaji tidak disebutkan,30+ hari yang lalu
Head of Data,Buku Warung,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
18. DATA ANALYST (SEMARANG),PT Yamaha Motor Electronics Indonesia,Semarang,Gaji tidak disebutkan,30+ hari yang lalu
13. DATA ANALYST,PT Yamaha Motor Electronics Indonesia,Pulo Gadung,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Ctlyst,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,Ctlyst,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist - Financial Services,PT Fliptech Lentera Inspirasi Pertiwi,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst & Infographic,Berita Satu,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Visual Merchandising Data Analyst,PT. Hebe Beauty Style,Jakarta Utara,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Kreasi Media Solusindo (Impacta),Kota Kediri,Gaji tidak disebutkan,30+ hari yang lalu
AI Engineer,PT Samsung Electronics Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior/Staff Data Engineer,Coda Payments Pte Ltd,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
RCU Analytics & Improvement Sr Specialist,PT CIMB Niaga Tbk,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Science (Project Based),PT Telkomsel Ekosistem Digital,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Technical Consultant Analyst,"PT. Metrodata Electronics, Tbk",Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Machine Learning Engineer (Project Based),PT Telkomsel Ekosistem Digital,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Kayoman Group,Bojongloa Kidul,Gaji tidak disebutkan,30+ hari yang lalu
Financial Analytic Specialist,"PT. BFI FINANCE INDONESIA, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Engineer,PT AJAIB TTX Solusi (jakarta),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Trainer of Data (Data Engineering, Data Visualization and Data Science)",PT Cybertrend Intrabuana,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Head of Data Science - Visa Consulting & Analytics, Indonesia",Visasoft Ltd,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer (IT Consulting),Data Engineer (IT Consulting),Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Scientist,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Intern (Next Level Internship),PT Mid Solusi Nusantara (MEKARI),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Staffinc Talent,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Yogyakarta,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Jawa Barat,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Surakarta,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Malang,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Banjarmasin,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Batam,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Pekanbaru,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Makassar,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Palembang,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Bekasi,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Semarang,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Medan,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator - Freelance,Mindrift,Jawa Timur,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotation Specialist - Freelance,Mindrift,Jawa Barat,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotation Specialist - Freelance,Mindrift,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotation Specialist - Freelance,Mindrift,Surabaya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,FIFGROUP,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,Company Confidential,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Processor,PT Fugro Indonesia,Pasar Minggu,Gaji tidak disebutkan,30+ hari yang lalu
Crypto Data Scientist / Machine Learning Engineer (Indonesia-Remote),Tokenmetrics,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Job Opening Application Development,Mitra Integrasi Informatika,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Job Opening Application Development,"PT. Metrodata Electronics, Tbk",Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
